aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,unix,temperature,humidity,wind_speed,hour,weekday,month,city_encoded
2,2.1669137836655574,4.256104563801307,1.9556284750336197,-1.829341985117715,1.0529033220843653,15.65,-0.3311339221156433,1.9175275936701675,2025-05-10 06:00:00+00:00,1746856800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,6,5,5,3
2,2.028824003306011,2.155501649766673,1.5410174737202937,-0.2654463542175717,2.5063700276776486,16.11,-0.18457518512776458,-0.05685823496170705,2025-05-10 07:00:00+00:00,1746860400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,7,5,5,3
2,1.9129820208932784,1.753258538568552,1.4990905185313057,-0.12213518778455634,2.3945648964781654,13.4,-0.3854149358148575,-0.17916532169111526,2025-05-10 08:00:00+00:00,1746864000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,8,5,5,3
2,1.8730894176782995,1.351015427370431,1.5549931254499565,-0.16723310729144958,2.1967558182021567,11.33,-0.5877350777846563,-0.23449471806870464,2025-05-10 09:00:00+00:00,1746867600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,9,5,5,3
2,1.6022800150842984,0.6359165630182151,1.2615044391270405,0.09834352980469761,1.8613404246037066,8.79,-0.761927785383044,-0.43251571563060354,2025-05-10 10:00:00+00:00,1746871200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,10,5,5,3
2,1.6552144308887913,0.8593849581282825,1.1962847310552813,0.12389901752527054,1.7667360828195284,7.31,-0.8986172471528837,-0.44416400960483293,2025-05-10 11:00:00+00:00,1746874800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,11,5,5,3
2,1.818620670980922,1.0828533532383497,1.2708215402801486,0.1218946655471861,1.8613404246037066,6.1,-1.0066858107904102,-0.44707608309839025,2025-05-10 12:00:00+00:00,1746878400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,12,5,5,3
2,1.897638711964441,1.1275470322603631,1.3453583495050163,0.09233047387044571,1.9817459505108426,5.03,-1.0851465487738199,-0.43833986261771823,2025-05-10 13:00:00+00:00,1746882000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,13,5,5,3
2,2.0104120325914043,1.1275470322603631,1.4851148668016434,0.039215146451216126,1.9215431875572744,4.12,-1.1443622000820537,-0.4150432746692595,2025-05-10 14:00:00+00:00,1746885600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,14,5,5,3
2,2.0748539300925266,0.993465995194323,1.6388470358279323,-0.0028762450885507895,1.7323345039889182,3.28,-1.1951889674549545,-0.4063070541885876,2025-05-10 15:00:00+00:00,1746889200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,15,5,5,3
